Company,Region,Vertical,Funding Amount (USD),Funding Stage,Funding Date
Buck.ai,United States,Artificial Intelligence,300000,Seed,20-Jan
Seatrec,United States,Marine Technology,970000,Seed,20-Jan
BeeCanvas,United States,B2B Software,1000000,Seed,20-Jan
SmartKarrot,United States,B2B Software,1000000,Angel,20-Jan
Fundraise Up,United States,B2B Software,1250000,Seed,20-Jan
Yac,United States,B2B Software,1250000,Seed,20-Jan
Cloverleaf.me,United States,Human Resources,1300000,Seed,20-Jan
Docket,United States,B2B Software,1500000,Seed,20-Jan
Podsights,United States,Marketing,1500000,Seed,20-Jan
SIMBA Chain,United States,Blockchain,1500000,Seed,20-Jan
Defendify,United States,Cyber Security,2000000,Seed,20-Jan
OpenPhone,United States,B2B Software,2000000,Seed,20-Jan
Punch List,United States,Home Renovation,2000000,Seed,20-Jan
Kloud.io,United States,B2B Software,4000000,Seed,20-Jan
Upflex,United States,CoWorking,4100000,Seed,20-Jan
1Huddle,United States,Human Resources,5000000,Series A,20-Jan
Luxury Presence,United States,Real Estate,5400000,Series A,20-Jan
Lynq,United States,Hardware,6000000,Seed,20-Jan
Stoplight,United States,B2B Software,6000000,Series A,20-Jan
TypingDNA,United States,Artificial Intelligence,7000000,Series A,20-Jan
Ceterus,United States,B2B Software,9100000,Series C,20-Jan
AppOmni,United States,Cyber Security,10000000,Series A,20-Jan
Containous,United States,B2B Software,10000000,Series A,20-Jan
Legalpad,United States,Legal Tech,10000000,Series A,20-Jan
Neighbor,United States,Consumer,10000000,Series A,20-Jan
Otter.ai,United States,Artificial Intelligence,10000000,Series B,20-Jan
AbSci,United States,Biotechnology,10400000,Series D,20-Jan
Feathr,United States,B2B Software,11000000,Series B,20-Jan
Locale,United States,Travel,11000000,Series A,20-Jan
Lily AI,United States,Artificial Intelligence,12500000,Series A,20-Jan
BlueConic,United States,B2B Software,12800000,Series B,20-Jan
Spatial,United States,Augmented Reality,14000000,Series A,20-Jan
Roambee,United States,Logistics,15200000,Series B,20-Jan
Insurify,United States,Artificial Intelligence,23000000,Series A,20-Jan
MURAL,United States,B2B Software,23000000,Series A,20-Jan
Clubhouse,United States,B2B Software,25000000,Series B,20-Jan
CREXi,United States,Real Estate,30000000,Series B,20-Jan
Workboard,United States,B2B Software,30000000,Series C,20-Jan
Modern Health,United States,Human Resources,31000000,Series B,20-Jan
Verbit.ai,United States,Artificial Intelligence,31000000,Series B,20-Jan
Productboard,United States,B2B Software,45000000,Series B,20-Jan
Justworks,United States,B2B Software,50000000,Series E,20-Jan
SECURITI.ai,United States,Artificial Intelligence,50000000,Series B,20-Jan
LaunchDarkly,United States,B2B Software,54000000,Series D,20-Jan
Element Biosciences,United States,Biotechnology,80000000,Series B,20-Jan
Verkada,United States,Computer Vision,80000000,Series C,20-Jan
ActiveCampaign,United States,B2B Software,100000000,Series B,20-Jan
Sisense,United States,B2B Software,100000000,Series F,20-Jan
Joby Aviation,United States,Aerospace,590000000,Series C,20-Jan
Impossible Foods,United States,Food and Beverage,500000000,Series F,20-Mar
Bakkt,United States,Blockchain,300000000,Series B,20-Mar
Via,United States,Automotive,200000000,Series E,20-Mar
HashiCorp,United States,Cyber Security,175000000,Series E,20-Mar
ElevateBio,United States,Biotechnology,170000000,Series B,20-Mar
UserTesting,United States,B2B Software,100000000,Series C,20-Mar
Lyra Health,United States,Employee Benefits,75000000,Series C,20-Mar
Rigetti Computing,United States,Quantum Computing,71000000,Series D,20-Mar
Everlaw,United States,Legal,62000000,Series C,20-Mar
Netlify,United States,Web Development,53000000,Series C,20-Mar
SpotOn,United States,FinTech,50000000,Series B,20-Mar
mParticle,United States,B2B Software,45000000,Series D,20-Mar
Proxy,United States,Augmented Reality,42000000,Series B,20-Mar
Human Interest,United States,Cloud Computing,40000000,Series C,20-Mar
Rancher Labs,United States,FinTech,40000000,Series C,20-Mar
STRIVR,United States,Virtual Reality,30000000,Series B,20-Mar
Orion Labs,United States,Enterprise,29000000,Series B,20-Mar
Sensel,United States,Consumer Electronics,28000000,Series A,20-Mar
Remesh,United States,Artificial Intelligence,25000000,Series A,20-Mar
Airbase,United States,FinTech,23500000,Series A,20-Mar
Sourcegraph,United States,Developer Platform,23000000,Series B,20-Mar
Arkose Labs,United States,B2B Software,22000000,Series B,20-Mar
Pager,United States,FinTech,22000000,Series B,20-Mar
Fast,United States,B2B Software,20000000,Series A,20-Mar
Leaf Logistics,United States,Logistics,20000000,Series A,20-Mar
Suki,United States,Artificial Intelligence,20000000,Series B,20-Mar
Mya Systems,United States,Artificial Intelligence,18700000,Series C,20-Mar
Second Nature,United States,E-Commerce,16399999,Series C,20-Mar
Validere,United States,Finance,15000000,Series B,20-Mar
Axis Security,United States,B2B Software,14000000,Series A,20-Mar
Helm.ai,United States,Autonomous Vehicles,13000000,Seed,20-Mar
Deepgram,United States,B2B Software,12000000,Series A,20-Mar
Quit Genius,United States,B2B Software,11000000,Series A,20-Mar
Rollbar,United States,Fitness,11000000,Series A,20-Mar
UnitQ,United States,B2B Software,11000000,Series B,20-Mar
Slync.io,United States,B2B Software,11000000,Series A,20-Mar
Finix,United States,Transportation,10000000,Series A,20-Mar
Forager,United States,FinTech,10000000,Series B,20-Mar
Moffett,United States,Logistics,10000000,Series A,20-Mar
Ride Report,United States,Cyber Security,10000000,Series A,20-Mar
ZeroNorth,United States,Artificial Intelligence,10000000,Angel,20-Mar
DisruptOPS,United States,Cyber Security,9000000,Series A,20-Mar
Allset,United States,Food and Beverage,8199999,Series B,20-Mar
Cleanshelf,United States,B2B Software,8000000,Series A,20-Mar
Zeto,United States,Health Care,7300000,Series A,20-Mar
Yaguara,United States,B2B Software,7200000,Seed,20-Mar
Pathlight,United States,B2B Software,7000000,Series A,20-Mar
Around,United States,Video Software,5200000,Seed,20-Mar
BackboneAI,United States,Artificial Intelligence,4700000,Seed,20-Mar
ProCredEx,United States,Health Care,3500000,Seed,20-Mar
Balancer Labs,United States,Blockchain,3000000,Seed,20-Mar
Zabo,United States,Blockchain,2500000,Seed,20-Mar
ZBiotics,United States,Nutraceutical,2300000,Seed,20-Mar
Sounder.fm,United States,B2B Software,1800000,Seed,20-Mar
Strata,United States,Developer Tools,1500000,Seed,20-Mar
SalesReach,United States,Sales,1200000,Seed,20-Mar
mod.io,United States,B2B Software,1000000,Seed,20-Mar
Hallo,United States,B2B Software,614000,Seed,20-Apr
Aspen Neuroscience,United States,Biotechnology,70000000,Series A,20-Apr
Concertio,United States,Artificial Intelligence,4000000,Seed,20-Apr
Phantom AI,United States,Artificial Intelligence,22000000,Series A,20-Apr
SonderMind,United States,Health Care,27000000,Series B,20-Apr
Everstream Solutions,United States,Cloud Data Services,343000000,Debt Financing,20-Apr
MixMode,United States,Artificial Intelligence,4000000,Series A,20-Apr
Cadence,United States,FinTech,4000000,Seed,20-Apr
Arturo,United States,Artificial Intelligence,8000000,Series A,20-Apr
AlertMedia,United States,Enterprise Software,15000000,Series C,20-Apr
Shippo,United States,Logistics,30000000,Series C,20-Apr
CircleCI,United States,Cloud Computing,100000000,Series E,20-Apr
Podium,United States,B2B Software,125000000,Series C,20-Apr
Sila,United States,FinTech,8000000,Seed,20-Apr
IFM Restoration,United States,Real Estate,10000000,Series A,20-Apr
Tonkean,United States,B2B Software,24000000,Series A,20-Apr
Wellpay,United States,FinTech,4000000,Seed,20-Apr
SeeQC,United States,Quantum Computing,5000000,Series A,20-Apr
Kate Farms,United States,Food and Beverage,23000000,Series A,20-Apr
Bugcrowd,United States,Cyber Security,30000000,Series D,20-Apr
Thrasio,United States,Investing,75000000,Series B,20-Apr
Cohesity,United States,Cloud Computing,250000000,Series E,20-Apr
Cloosiv,United States,Logistics,500000,Seed,20-Apr
Atlas AI,United States,Artificial Intelligence,7000000,Series A,20-Apr
Clever Leaves,United States,Cannabis,14000000,Series E,20-Apr
Beyond Identity,United States,"Clouyd Security, Software",30000000,Series A,20-Apr
Rallybio,United States,Biotechnology,93000000,Series B,20-Apr
Gembah,United States,Manufacturing,3000000,Seed,20-Apr
Alkira,United States,Cloud Computing,30000000,Series A,20-Apr
Coder,United States,Cloud Computing,30000000,Series B,20-Apr
Awake Security,United States,Cloud Security,36000000,Series C,20-Apr
Attentive,United States,B2B Software,40000000,Series C,20-Apr
Learn In,United States,Education,4000000,Seed,20-Apr
Everee,United States,FinTech,10000000,Series A,20-Apr
Parsyl,United States,Supply Chain Management,15000000,Series A,20-Apr
Greenbits,United States,Cannabis,23000000,Series B,20-Apr
Stripe,United States,FinTech,600000000,Series G,20-Apr
Benepass,United States,B2B Software,2000000,Seed,20-Apr
360VUZ,United States,3D Technology,6000000,Series A,20-Apr
Unlearn,United States,Biotechnology,12000000,Series A,20-Apr
Guru,United States,B2B Software,30000000,Series C,20-Apr
env0,United States,B2B Software,3000000,Seed,20-Apr
Oyster,United States,Recruiting,4000000,Seed,20-Apr
Biobot Analytics,United States,Biotechnology,7000000,Seed,20-Apr
Federated Wireless,United States,Cloud Computing,14000000,Series C,20-Apr
Vercel,United States,B2B Software,21000000,Series A,20-Apr
ForgeRock,United States,Cyber Security,94000000,Series E,20-Apr
Confluent,United States,B2B Software,250000000,Series E,20-Apr
Hugo,United States,B2B Software,6000000,Seed,20-Apr
